fecha,contenedor,estado
2024-09-05,TCLU-322258-7,Arribado hh:mm
2024-09-05,TCLU-762622-6,Arribado hh:mm
2024-09-05,MSMU-337419-2,Arribado 19:11
2024-09-06,FANU-353419-8,Arribado 15:05
2024-09-06,TLLU-530714-6,Arribado 15:05
2024-09-06,SEGU-509474-2,Arribado 15:05
2024-09-06,UACU-600174-2,Arribado 15:05
2024-09-06,CLHU-478549-1,Arribado 15:40
2024-09-09,MSMU-557586-9,Arribado 14:35
2024-09-09,MSKU-649417-0,Arribado 14:35
2024-09-09,HLBU-113394-9,Arribado 14:40
2024-09-09,HLBU-228267-5,Arribado 14:40
2024-09-09,MSNU-311243-1,Arribado 14:40
2024-09-10,TGHU-191475-4,Arribado 15:10
2024-09-11,HASU-112185-2,Arribado 10:40
2024-09-11,TGHU-691466-0,Arribado 12:30
2024-09-11,MRKU-990275-6,Arribado 16:25
2024-09-11,MSKU-993040-4,Arribado 16:25
2024-09-12,EITU-180147-7,Arribado 15:20
2024-09-16,ECMU-434461-3,15:05 Arribado
2024-09-16,MRSU-100017-2,15:05 Arribado
2024-09-16,EITU-903387-9,15:10 Arribado
2024-09-16,MRKU-564566-5,15:10 Arribado
2024-09-16,MRSU-437175-2,15:10 Arribado
2024-09-16,MRKU-468302-2,15:10 Arribado
2024-09-17,ONEU-122313-4,11:45 Arribado
2024-09-17,ONEU-570219-8,11:45 Arribado
2024-09-17,ONEU-571197-0,11:45 Arribado
2024-09-17,ONEU-571816-8,11:45 Arribado
2024-09-17,TRHU-518322-2,11:45 Arribado
2024-09-17,HLBU-236891-1,15:40 Arribado
2024-09-17,SUDU-692672-3,15:40 Arribado
2024-09-18,TEMU-294612-1,14:25 Arribado
2024-09-18,TRHU-287246-5,14:30 Arribado
2024-09-18,EMCU-852483-0,15:30 Arribado
2024-09-18,HLBU-109842-6,18:20 Arribado
2024-09-18,ONEU-090399-1,18:20 Arribado
2024-09-18,ONEU-570305-0,18:20 Arribado
2024-09-18,ONEU-571194-4,18:20 Arribado
2024-09-18,ONEU-571196-5,18:20 Arribado
2024-09-19,TEMU-558931-0,12:30 Arribado
2024-09-19,CLHU-844928-4,13:50 Arribado
2024-09-19,DFSU-658588-0,13:50 Arribado
2024-09-19,MSDU-761784-3,13:50 Arribado
2024-09-19,MSMU-818117-5,13:50 Arribado
2024-09-19,TCNU-637755-3,13:50 Arribado
2024-09-19,BMOU-595168-4,13:55 Arribado
2024-09-19,MSDU-731107-2,13:55 Arribado
2024-09-19,MSMU-519570-3,13:55 Arribado
2024-09-19,TCNU-773162-0,13:55 Arribado
2024-09-19,TGBU-456798-1,13:55 Arribado
2024-09-19,BSIU-301879-9,16:10 Arribado
2024-09-19,TIIU-453419-0,16:10 Arribado
2024-09-23,TCNU-443725-2,14:55 Arribado
2024-09-24,TCKU-464177-0,14:35 Arribado
2024-09-24,UACU-408385-0,15:40 Arribado
2024-09-24,FBIU-035061-9,15:40 Arribado
2024-09-25,BEAU-546865-0,17:56 Arribado
2024-09-25,SEGU-169247-4,17:56 Arribado
2024-09-25,HLXU-531526-0,17:56 Arribado
2024-09-25,TCLU-756010-8,17:56 Arribado
2024-09-26,UACU-836953-8,14:00 Arribado
2024-09-27,MSKU-159528-0,16:25 Arribado
2024-09-27,SEKU-627132-2,16:50 Arribado
2024-09-30,TGHU-524119-0,17:28 Arribado
2024-09-30,ZCSU-263286-6,17:28 Arribado
2024-09-30,ZCSU-779258-0,17:28 Arribado
2024-10-01,MSDU-469663-8,17:00 Arribado
2024-10-02,TCKU-727800-0,17:10 Arribado
2024-10-03,SUDU-548026-2,16:45 Arribado
2024-10-03,ZCSU-259402-5,16:50 Arribado
2024-10-03,MSKU-996255-1,16:50 Arribado
2024-10-04,HLXU-534784-3,13:50 Arribado
2024-10-04,HLBU-260092-4,13:55 Arribado
2024-10-04,SEGU-230060-2,13:55 Arribado
2024-10-04,MSKU-393374-6,13:55 Arribado
2024-10-14,TLLU-457018-4,17:10 Arribado
2024-10-14,HJMU-493080-0,17:20 Arribado
2024-10-14,TEMU-140086-1,17:35 Arribado
2024-10-15,TGBU-743656-3,11:50 Arribado
2024-10-15,BEAU-436140-0,11:55 Arribado
2024-10-15,TRHU-113818-5,17:30 Arribado
2024-10-15,TCKU-204838-6,17:30 Arribado
2024-10-15,ONEU-128084-9,17:30 Arribado
2024-10-15,TCKU-795959-6,17:30 Arribado
2024-10-15,BSIU-966307-0,17:30 Arribado
2024-10-16,ZCSU-659718-8,14:45 Arribado
2024-10-16,MRKU-459275-0,14:45 Arribado
2024-10-16,MSCU-635318-8,16:15 Arribado
2024-10-21,MRKU-060858-7,18:47 Arribado
