orden_ing,suborden,renglon,cliente,agencia,fecha_ing,contenedor,conocim1,desc_merc,dimension,tipo_cnt,volumen,kilos,operacion,ubicacion,ubicacion_familia,teus
7696,0,1,LA SELENA S.A.                                                                  ,NICOLAS GARCIA                                                                  ,2019-02-20,FSCU-814752-7,                              ,QDC TEXTILES                                                ,40,HC,70.00,20440.00,7696-0-1,PLZA,Plazoleta,2
5015,2,1,ZIMMERMANN ERNESTO                                                              ,DASSA - CLIENT A LA ORDEN                                                       ,2018-02-20,DFSU-737166-6,COSU4006908970                ,ERNESTO ZIMMERMANN/ TRACTOR FIAT L85 DT CHASSIS NO 001120182,40,HC,20.00,3870.00,5015-2-1,PLZA,Plazoleta,2
7668,0,1,LA SELENA S.A.                                                                  ,LA SELENA S.A.                                                                  ,2019-02-19,ZCSU-849301-1,                              ,QDC TEXTILES FABRIC                                         ,40,HC,70.00,20600.00,7668-0-1,PLZA,Plazoleta,2
21600,2,1,GEO LOGISTICS ARGENTINA S.R.L.                                                  ,GEO LOGISTICS ARGENTINA S.R.L.                                                  ,2022-09-15,SUDU-549256-1,220813525                     ,MERCEDES BENZ 560SL                                         ,40,DR,11.00,1570.00,21600-2-1,P-TIN,Plazoleta,2
22998,1,1,MGP LOGISTICS S.R.L                                                             ,MGP LOGISTICS S.R.L                                                             ,2023-01-31,SEGU-182617-2,HLCUSYD221116679              ,AUTO -                                                      ,20,DR,10.00,3200.00,22998-1-1,P-TIN,Plazoleta,1
28649,1,1,INDUSTRIAS SALADILLO S.A.                                                       ,INDUSTRIAS SALADILLO S.A.                                                       ,2024-05-10,MEDU-552589-0,MEDUUW273558                  ,GALVANIZED STEEL STRIP                                      ,20,DR,6.00,23620.00,28649-1-1,P-TIN,Plazoleta,1
27494,1,1,NICOLAS GARCIA                                                                  ,NICOLAS GARCIA                                                                  ,2024-02-02,MRKU-683373-3,HBOL432                       ,CHEVROLET CORVETTE TTOP350 1973                             ,20,DR,0.00,1641.00,27494-1-1,P-TIN,Plazoleta,1
31375,0,1,ACEPTYOURDESTINY SA                                                             ,NICOLAS GARCIA                                                                  ,2024-10-17,TRHU-651223-5,                              ,TELAS                                                       ,40,HC,0.00,24220.00,31375-0-1,PLZA,Plazoleta,2
31382,0,1,LUIAL SA                                                                        ,BA COMEX S.A                                                                    ,2024-10-17,TRHU-532665-8,                              ,TELAS                                                       ,40,HC,0.00,25980.60,31382-0-1,PLZA,Plazoleta,2
31400,0,1,JUPAM SA                                                                        ,BA COMEX S.A                                                                    ,2024-10-18,EITU-161578-6,                              ,TELAS                                                       ,40,HC,0.00,20000.00,31400-0-1,PLZA,Plazoleta,2
31467,0,1,JUPAM SA                                                                        ,BA COMEX S.A                                                                    ,2024-10-22,TCNU-212705-2,                              ,TELAS                                                       ,40,HC,0.00,21186.00,31467-0-1,PLZA,Plazoleta,2
31468,0,1,JUPAM SA                                                                        ,BA COMEX S.A                                                                    ,2024-10-22,EMCU-997502-0,                              ,TELAS                                                       ,40,HC,0.00,24010.00,31468-0-1,PLZA,Plazoleta,2
31469,0,1,BAMBU SALUDABLE SRL                                                             ,TANDEM GLOBAL LOGISTICS S.A.                                                    ,2024-10-22,BEAU-500819-3,                              ,DRIED MONKEY                                                ,40,HC,0.00,7619.00,31469-0-1,PLZA,Plazoleta,2
31586,0,1,MERCOVAN ARGENTINA SRL                                                          ,MERCOVAN ARGENTINA SRL                                                          ,2024-10-28,TCLU-418014-6,                              ,MUDANZA                                                     ,40,DR,0.00,4500.00,31586-0-1,PLZA,Plazoleta,2
31587,0,1,SHIPY S.A.                                                                      ,SHIPY S.A.                                                                      ,2024-10-28,EGSU-942052-5,                              ,JUGUETES                                                    ,40,HC,0.00,5624.60,31587-0-1,PLZA,Plazoleta,2
31587,0,2,SHIPY S.A.                                                                      ,SHIPY S.A.                                                                      ,2024-10-28,EISU-834174-4,                              ,JUGUETES                                                    ,40,HC,0.00,5970.12,31587-0-2,PLZA,Plazoleta,2
31588,0,2,BERKMA S.A.                                                                     ,BERKMA S.A.                                                                     ,2024-10-28,KOCU-507883-6,                              ,JUGUETES                                                    ,40,HC,0.00,4375.00,31588-0-2,PLZA,Plazoleta,2
31588,0,1,BERKMA S.A.                                                                     ,BERKMA S.A.                                                                     ,2024-10-28,HMMU-657096-8,                              ,JUGUETES                                                    ,40,HC,0.00,6558.90,31588-0-1,PLZA,Plazoleta,2
31589,0,1,BERKMA S.A.                                                                     ,BERKMA S.A.                                                                     ,2024-10-28,KOCU-485468-4,                              ,JUGUETES                                                    ,40,HC,0.00,4616.43,31589-0-1,PLZA,Plazoleta,2
31590,0,1,BERKMA S.A.                                                                     ,BERKMA S.A.                                                                     ,2024-10-28,KOCU-403461-7,                              ,JUGUETES                                                    ,40,HC,0.00,6970.85,31590-0-1,PLZA,Plazoleta,2
31590,0,2,BERKMA S.A.                                                                     ,BERKMA S.A.                                                                     ,2024-10-28,KOCU-453262-5,                              ,JUGUETES                                                    ,40,HC,0.00,4716.10,31590-0-2,PLZA,Plazoleta,2
31591,0,1,SHIPY S.A.                                                                      ,SHIPY S.A.                                                                      ,2024-10-28,BSIU-811364-9,                              ,JUGUETES                                                    ,40,HC,0.00,5183.50,31591-0-1,PLZA,Plazoleta,2
31591,0,3,SHIPY S.A.                                                                      ,SHIPY S.A.                                                                      ,2024-10-28,EITU-134758-0,                              ,JUGUETES                                                    ,40,HC,0.00,4859.70,31591-0-3,PLZA,Plazoleta,2
31591,0,2,SHIPY S.A.                                                                      ,SHIPY S.A.                                                                      ,2024-10-28,CAAU-544155-9,                              ,JUGUETES                                                    ,40,HC,0.00,5312.85,31591-0-2,PLZA,Plazoleta,2
31592,0,1,DANIEL BERANT                                                                   ,ALL TRADE S.A.                                                                  ,2024-10-28,MRKU-507225-0,                              ,POLYESTER                                                   ,40,HC,0.00,21322.69,31592-0-1,PLZA,Plazoleta,2
31594,0,1,INDUSTRIAS SALADILLO S.A.                                                       ,REBUFFO Y ASOCIADOS SRL                                                         ,2024-10-28,ZIMU-295917-0,                              ,VALVE PARTS                                                 ,20,DR,0.00,16452.00,31594-0-1,PLZA,Plazoleta,1
31613,0,2,MARANSI S.A.                                                                    ,ALL TRADE S.A.                                                                  ,2024-10-29,TRHU-411740-0,                              ,WASHING MACHINE                                             ,40,HC,0.00,13740.00,31613-0-2,PLZA,Plazoleta,2
31613,0,1,MARANSI S.A.                                                                    ,ALL TRADE S.A.                                                                  ,2024-10-29,MRSU-556404-1,                              ,WASHING MACHINE                                             ,40,HC,0.00,14299.20,31613-0-1,PLZA,Plazoleta,2
31614,0,1,SK DISTRIBUTORS S.R.L.                                                          ,SK DISTRIBUTORS S.R.L.                                                          ,2024-10-29,TCLU-429047-8,                              ,HAND DRYERS                                                 ,40,DR,0.00,13980.00,31614-0-1,PLZA,Plazoleta,2
31631,0,1,LIFT VAN INT. CO S.A                                                            ,LIFT VAN INT. CO S.A                                                            ,2024-10-29,GCXU-218504-0,                              ,MUDANZA                                                     ,20,DR,0.00,1270.45,31631-0-1,PLZA,Plazoleta,1
31631,1,1,LIFT VAN INT. CO S.A                                                            ,LIFT VAN INT. CO S.A                                                            ,2024-10-29,GCXU-218504-0,HLCULIV240908940              ,MUDANZA / MAX GRANT                                         ,20,DR,30.00,1270.45,31631-1-1,PLZA,Plazoleta,1
31656,0,1,INTAKT SRL                                                                      ,ALL TRADE S.A.                                                                  ,2024-10-31,BEAU-555760-8,                              ,ALUMINIUM                                                   ,40,HC,0.00,3430.00,31656-0-1,PLZA,Plazoleta,2
31657,0,1,EDELWEISS SPEDITION SRL                                                         ,EDELWEISS SPEDITION SRL                                                         ,2024-10-31,TCLU-385969-9,                              ,MUDANZA                                                     ,20,DR,0.00,3100.00,31657-0-1,PLZA,Plazoleta,1
31674,0,1,LIFT VAN INT. CO S.A                                                            ,LIFT VAN INT. CO S.A                                                            ,2024-10-31,HLBU-153857-2,                              ,MUDANZA                                                     ,40,DR,0.00,1167.00,31674-0-1,PLZA,Plazoleta,2
