Dia,Cliente,Conocim.,Contenedor,Envase,Cant.,Ubic.,Estado
2024-11-06,Lift Van I...,LIFBUE24100009,HLBU-247063-0,Bultos,309,NV2,En curso
2024-11-06,Lift Van I...,LIFBUE24080010,HLBU-153857-2,Bultos,2,NV2,En curso
2024-11-06,Grouport S...,SZX24041664,MSMU-557586-9,Bultos,105,IB5,En curso
2024-11-06,Grouport S...,SZX24041664,MSMU-557586-9,Bultos,105,IB5,En curso
2024-11-06,Grouport S...,SZX24041664,MSMU-557586-9,Bultos,105,IB5,En curso
2024-11-06,Grouport S...,SZX24041664,MSMU-557586-9,Bultos,90,IB5,En curso
2024-11-06,Grouport S...,SZX24041664,MSMU-557586-9,Bultos,90,IB5,En curso
2024-11-06,Grouport S...,SZX24041664,MSMU-557586-9,Bultos,90,IB5,En curso
2024-11-06,Novelty Tr...,ESL24090494,GAOU-748182-4,Contenedor,1,PLZA,En curso
2024-11-07,Lift Van I...,HLCUBO2240814827,HLXU-531526-0,Bultos,293,NV3,Pendiente
2024-11-07,Daniel Ber...,,MRKU-507225-0,Contenedor,1,PLZA,Pendiente
2024-11-07,Lift Van I...,IBC1240658,FSCU-514386-8,Bultos,209,NV2,Pendiente
2024-11-07,Lift Van I...,HLUSPIL240805301,HLBU-153857-2,Bultos,1,NV1,Pendiente
2024-11-07,Shipy S.A.,,ONEU-033041-5,Contenedor,1,PLZA,Pendiente
2024-11-07,Shipy S.A.,,TRHU-406176-5,Contenedor,1,PLZA,Pendiente
2024-11-07,Shipy S.A.,,TRHU-586481-7,Contenedor,1,PLZA,Pendiente
2024-11-07,Prowood S....,243870224,MRKU-060858-7,Pallets,33,IA6,Pendiente
2024-11-08,Tmcp S.A.S...,,MRSU-408539-0,Contenedor,1,PLZA,Pendiente
2024-11-08,Tmcp S.A.S...,,CAAU-831019-3,Contenedor,1,PLZA,Pendiente
