orden_ing,suborden,renglon,destino,dia,hora,observa,conocim2,Estado,id,cliente,tipo_oper,fecha_ing,contenedor,desc_merc,conocim1,dimension,tipo_cnt,volumen,Envase,fecha_egr,cantidad,bookings,kilos,precinto,salida_validada,salida_vacio_validada,fechaverif,ubicacion
31286,1,1,Retiro,2024-11-06,8:00 ,,LIFBUE24100009      ,En curso,31286-1-1,Lift Van Int. Co S.A,Importacion,2024-10-14,HLBU-247063-0,Mudanza - Palmerio Gustavo,LIFBUE24100009                ,40,HC,62.00,Bultos,2024-11-06,309,HLCUSJ2240802429    ,,,,,,NV2                 
31674,1,1,Retiro,2024-11-06,8:00 ,,LIFBUE24080010      ,En curso,31674-1-1,Lift Van Int. Co S.A,Importacion,2024-10-31,HLBU-153857-2,Partridge Shawna,LIFBUE24080010                ,40,DR,6.00,Bultos,2024-11-06,2,HLUSPIL240805301    ,,,,,,NV2                 
31706,1,1,Remision,2024-11-06,8:00 ,TRP   09HS,245040069           ,En curso,31706-1-1,Hector Reboratti,Exportacion,2024-11-01,MSKU-082622-0,Grlem241145/ 245040069,245040069                     ,0,  ,-0.00,Bultos,2024-11-06,36,                    ,,,,,,EA1                 
31707,1,1,Remision,2024-11-06,8:00 ,TRP   09HS,245040069           ,En curso,31707-1-1,Hector Reboratti,Exportacion,2024-11-01,MRKU-310515-9,Grlem241145/ 245040069,245040069                     ,0,  ,-0.00,Bultos,2024-11-06,36,                    ,,,,,,EA1                 
31704,1,1,Remision,2024-11-06,8:00 ,EXOLGAN    10HS,BUEE13773600        ,En curso,31704-1-1,J. Llorente Y Cía. S.A.,Exportacion,2024-11-01,TCKU-480393-2,Fc 1190 // Whisky // China // E 29837,BUEE13773600                  ,0,  ,-0.00,Bultos,2024-11-06,21,                    ,,,,,,ANEX-A1             
31721,1,1,Remision,2024-11-06,8:00 ,EXOLGAN   13HS,61315276            ,En curso,31721-1-1,Borax Argentina S A,Exportacion,2024-11-01,CAIU-288696-5,Fac 11676 //61315276,61315276                      ,0,  ,-0.00,Bultos,2024-11-06,20,                    ,,,,,,PLZA                
31722,1,1,Remision,2024-11-06,8:00 ,EXOLGAN    13HS,61315276            ,En curso,31722-1-1,Borax Argentina S A,Exportacion,2024-11-01,TEMU-183413-2,Fac 11676 //61315276,61315276                      ,0,  ,-0.00,Bultos,2024-11-06,20,                    ,,,,,,PLZA                
31634,1,1,Remision,2024-11-06,8:30 ,TRP    15HS,BUA0329857          ,En curso,31634-1-1,Lift Van Int. Co S.A,Exportacion,2024-10-22,FCGU-224051-2,Jorge Soriano,BUA0329857                    ,0,  ,-0.00,Bultos,2024-11-06,63,                    ,,,,,,EP-EX               
31635,1,1,Remision,2024-11-06,8:30 ,TRP    15HS,BUA0329857          ,En curso,31635-1-1,Lift Van Int. Co S.A,Exportacion,2024-10-22,TCNU-596220-8,Jorge Soriano,BUA0329857                    ,0,  ,-0.00,Bultos,2024-11-06,371,                    ,,,,,,EP-EX               
31738,1,1,Remision,2024-11-06,8:30 ,TERMINAL 4  15HS,244573548           ,En curso,31738-1-1,Valerio Oliva Forestal Sa,Exportacion,2024-10-24,MRKU-579884-9,Grlem241104/244573548,244573548                     ,0,  ,-0.00,Bultos,2024-11-06,22,ZIMUCRT906161/1     ,,,,,,NV5                 
31710,1,1,Remision,2024-11-06,8:30 ,TERMINAL 4   05AM,246069278           ,En curso,31710-1-1,Minera Santa Rita Srl,Exportacion,2024-11-01,SUDU-762930-8,Fact 14-411 // 246069278,246069278                     ,0,  ,-0.00,Bultos,2024-11-06,20,                    ,,,,,,PLZA                
30687,1,1,Retiro,2024-11-06,8:30 ,,SZX24041664         ,En curso,30687-1-1,Grouport Srl,Importacion,2024-09-09,MSMU-557586-9,Gorros,SZX24041664                   ,40,HC,18.86,Bultos,2024-11-06,105,SZX24041664         ,,,,,,IB5                 
30687,1,1,Retiro,2024-11-06,8:30 ,,SZX24041664         ,En curso,30687-1-1,Grouport Srl,Importacion,2024-09-09,MSMU-557586-9,Gorros,SZX24041664                   ,40,HC,18.86,Bultos,2024-11-06,105,SZX24041664         ,,,,,,IB5                 
30687,1,1,Retiro,2024-11-06,8:30 ,,SZX24041664         ,En curso,30687-1-1,Grouport Srl,Importacion,2024-09-09,MSMU-557586-9,Gorros,SZX24041664                   ,40,HC,18.86,Bultos,2024-11-06,105,SZX24041664         ,,,,,,IB5                 
30687,1,1,Retiro,2024-11-06,8:30 ,,SZX24041664         ,En curso,30687-1-1,Grouport Srl,Importacion,2024-09-09,MSMU-557586-9,Gorros,SZX24041664                   ,40,HC,16.17,Bultos,2024-09-12,90,SZX24041664         ,,,,,,IB5                 
30687,1,1,Retiro,2024-11-06,8:30 ,,SZX24041664         ,En curso,30687-1-1,Grouport Srl,Importacion,2024-09-09,MSMU-557586-9,Gorros,SZX24041664                   ,40,HC,16.17,Bultos,2024-09-12,90,SZX24041664         ,,,,,,IB5                 
30687,1,1,Retiro,2024-11-06,8:30 ,,SZX24041664         ,En curso,30687-1-1,Grouport Srl,Importacion,2024-09-09,MSMU-557586-9,Gorros,SZX24041664                   ,40,HC,16.17,Bultos,2024-09-12,90,SZX24041664         ,,,,,,IB5                 
31640,1,1,Remision,2024-11-06,8:30 ,TERMINAL 4     13HS,245891014           ,En curso,31640-1-1,Leterago Sa,Exportacion,2024-10-25,SUDU-896206-2,Grlae2476/ Leterago,245891014                     ,0,  ,-0.00,Bultos,2024-11-06,15,                    ,,,,,,EA1                 
